equipe2;nbPersEq2
 Inter - GR01 - 01;5
 Inter - GR01 - 03;5
 Inter - GR01 - 04;5
 Inter - GR01 - 05;5
 Inter - GR01 - 06;5
 Inter - GR02 - 01;5
 Inter - GR02 - 02;5
 Inter - GR02 - 03;5
 Inter - GR02 - 04;5
 Inter - GR02 - 05;5
 Inter - GR02 - 06;5
 Inter - GR03 - 01;5
 Inter - GR03 - 02;6
 Inter - GR03 - 03;5
 Inter - GR03 - 04;5
 Inter - GR03 - 05;5
 Inter - GR03 - 06;5
 Inter - GR04 - 01;5
 Inter - GR04 - 02;6
 Inter - GR04 - 03;5
 Inter - GR04 - 04;6
 Inter - GR04 - 05;5
 Inter - GR05 - 01;6
 Inter - GR05 - 02;5
 Inter - GR05 - 03;5
 Inter - GR05 - 04;5
 Inter - GR06 - 01;5
 Inter - GR06 - 02;5
 Inter - GR06 - 03;6
 Inter - GR06 - 04;6
 Inter - GR06 - 05;6
 Inter - GR07 - 01;5
 Inter - GR07 - 02;5
 Inter - GR07 - 03;6
 Inter - GR07 - 04;6
 Inter - GR08 - 01;5
 Inter - GR08 - 02;5
 Inter - GR08 - 03;5
 Inter - GR08 - 04;6
 Inter - GR08 - 05;6
 Inter - GR08 - 06;5
 Inter - GR09 - 01;5
 Inter - GR09 - 02;5
 Inter - GR09 - 03;5
 Inter - GR09 - 04;5
 Inter - GR09 - 05;6
 Poly - GR94 - 01;2
 Poly - GR94 - 03;2
 Poly - GR94 - 04;2
 Poly - GR94 - 05;2
 Poly - GR94 - 07;2
 Poly - GR94 - 08;3
 Poly - GR94 - 11;2
 Poly - GR94 - 12;2
 Poly - GR94 - 13;2
Inter - GR01 - 02;5
